"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"115","10",71,701414,"020830000","Diumenge",2015,"Novembre",22,5,"No és causa del  vianant","Motocicleta","Home","Conductor",36,"Mort",4585808.01,433936.57
"434","2",8,209300,"0001 0001","Dimecres",2015,"Febrer",11,12,"Desobeir el senyal del semàfor","Autobús","Home","Vianant",57,"Mort",4581979.47,429951.15
"1359","8",50,341409,"0029 0033","Dijous",2015,"Juliol",9,8,"No és causa del  vianant","Motocicleta","Home","Conductor",54,"Mort",4588900.34,431342.63
"1406","8",46,250802,"0020 0020","Divendres",2015,"Desembre",18,8,"No és causa del  vianant","Motocicleta","Home","Conductor",51,"Mort",4587165.58,430755.47
"2561","6",30,304606,"0010 0010","Dilluns",2015,"Setembre",7,7,"No és causa del  vianant","Motocicleta","Home","Conductor",48,"Mort",4585318.59,429544.6
"2721","8",50,140804,"0009 0009","Dimarts",2015,"Juliol",28,3,"Creuar per fora pas de vianants","Autobús","Home","Vianant",6,"Mort",4588794.27,430901.9
"3120","1",1,352100,"0008 0008","Dimarts",2015,"Març",10,12,"Desobeir el senyal del semàfor","Motocicleta","Home","Vianant",62,"Mort",4581954.33,430355.14
"3184","2",10,361406,"0097 0097","Divendres",2015,"Febrer",27,2,"No és causa del  vianant","Motocicleta","Home","Conductor",54,"Mort",4581399.51,429667.45
"3571","2",7,144601,"0442B0442B","Dijous",2015,"Maig",14,4,"No és causa del  vianant","Motocicleta","Home","Conductor",29,"Mort",4583374.61,429918.53
"3901","4",21,115400,"0117 0117","Dissabte",2015,"Setembre",19,5,"No és causa del  vianant","Turismo","Dona","Conductor",18,"Mort",4583193.39,425913.18
"4147","7",38,352507,"0116 0116","Dilluns",2015,"Maig",25,10,"Altres","Camión > 3,5 Tm","Home","Vianant",81,"Mort",4586195.82,428341.16
"4773","2",9,285807,"0184 0184","Diumenge",2015,"Juny",7,11,"No és causa del  vianant","Turismo","Home","Vianant",15,"Mort",4581919.32,428815.41
"5443","5",26,8501,"0064 0064","Divendres",2015,"Juny",19,5,"No és causa del  vianant","Motocicleta","Dona","Conductor",57,"Mort",4583724.54,428867.28
"5515","5",25,44709,"0066 0068","Dimecres",2015,"Novembre",25,8,"No és causa del  vianant","Motocicleta","Home","Conductor",55,"Mort",4584035.98,427055.5
"6284","2",8,23403,"0019 0019","Dimecres",2015,"Desembre",23,9,"No és causa del  vianant","Motocicleta","Home","Conductor",44,"Mort",4582229.94,429978.34
"6885","4",20,144601,"0639 0639","Dimarts",2015,"Gener",20,9,"No és causa del  vianant","Motocicleta","Home","Conductor",25,"Mort",4582241.22,426650.08
"6913","4",21,115400,"0117 0117","Dissabte",2015,"Setembre",19,5,"No és causa del  vianant","Turismo","Home","Passatger",18,"Mort",4583193.39,425913.18
"7069","5",25,80203,"0019 0019","Dissabte",2015,"Febrer",21,10,"No és causa del  vianant","Motocicleta","Home","Conductor",23,"Mort",4584030.81,427868.07
"7085","5",27,143904,"0251 0251","Divendres",2015,"Setembre",11,8,"No és causa del  vianant","Motocicleta","Home","Conductor",21,"Mort",4584395.11,428866.34
"7535","10",68,701265,"000770000","Dimarts",2015,"Juny",2,5,"No és causa del  vianant","Turismo","Home","Conductor",67,"Mort",4583034.46,433630.18
"7710","2",9,285807,"0074 0074","Dilluns",2015,"Octubre",12,7,"No és causa del  vianant","Taxi","Home","Vianant",36,"Mort",4581391.99,429331.28
"9137","1",4,247105,"0013 0013","Divendres",2015,"Novembre",6,4,"No és causa del  vianant","Motocicleta","Home","Conductor",27,"Mort",4581664.7,431865.19
"9731","3",17,187207,"0092 0092","Dimecres",2015,"Desembre",30,10,"No és causa del  vianant","Motocicleta","Home","Conductor",30,"Mort",4581315.73,427119.67
"9777","4",19,320704,"0135 0135","Dimecres",2015,"Abril",15,12,"No és causa del  vianant","Motocicleta","Home","Conductor",48,"Mort",4582841.76,427576.19
"10427","10",70,701414,"020840000","Divendres",2015,"Febrer",13,4,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Mort",4585877.1,434007.45
